Date,Open,High,Low,Close,Adj Close,Volume
2022-09-15,2.630000,2.670000,2.440000,2.470000,2.470000,796900
2022-09-16,2.350000,2.480000,2.300000,2.360000,2.360000,708200
2022-09-19,2.260000,2.430000,2.200000,2.410000,2.410000,724200
2022-09-20,2.380000,2.419000,2.250000,2.260000,2.260000,576700
2022-09-21,2.350000,2.350000,2.200000,2.220000,2.220000,789500
2022-09-22,2.180000,2.340000,2.151000,2.280000,2.280000,971200
2022-09-23,2.170000,2.200000,2.000000,2.030000,2.030000,829800
2022-09-26,2.060000,2.430000,2.050000,2.210000,2.210000,2528000
2022-09-27,2.250000,2.380000,2.175000,2.210000,2.210000,1105000
2022-09-28,2.200000,2.400000,2.178000,2.320000,2.320000,867500
2022-09-29,2.260000,2.314000,2.080000,2.090000,2.090000,576100
2022-09-30,2.100000,2.190000,2.015000,2.040000,2.040000,563800
2022-10-03,2.000000,2.120000,1.900000,2.100000,2.100000,654100
2022-10-04,2.130000,2.240000,2.130000,2.220000,2.220000,591700
2022-10-05,2.220000,2.380000,2.133000,2.320000,2.320000,1803000
2022-10-06,2.320000,3.060000,2.320000,2.900000,2.900000,5267900
2022-10-07,2.780000,2.780000,2.520000,2.590000,2.590000,1172700
2022-10-10,2.600000,2.920000,2.600000,2.700000,2.700000,2152100
2022-10-11,2.670000,2.670000,2.280000,2.350000,2.350000,1136200
2022-10-12,2.350000,2.380000,2.260000,2.330000,2.330000,638100
2022-10-13,2.220000,2.370000,2.159000,2.320000,2.320000,401400
2022-10-14,2.350000,2.350000,2.100000,2.160000,2.160000,349000
2022-10-17,2.230000,2.370000,2.200000,2.290000,2.290000,409700
2022-10-18,2.320000,2.361000,2.170000,2.200000,2.200000,323500
2022-10-19,2.230000,2.310000,2.050000,2.120000,2.120000,906000
2022-10-20,2.090000,2.228000,2.050000,2.070000,2.070000,265800
2022-10-21,2.050000,2.170000,2.020000,2.080000,2.080000,406700
2022-10-24,2.080000,2.130000,2.010000,2.050000,2.050000,247700
2022-10-25,2.050000,2.450000,2.050000,2.330000,2.330000,1079500
2022-10-26,2.290000,2.410000,2.200000,2.270000,2.270000,612000
2022-10-27,2.270000,2.380000,2.150000,2.150000,2.150000,373600
2022-10-28,2.160000,2.220000,2.050000,2.150000,2.150000,321000
2022-10-31,2.100000,2.180000,2.070000,2.070000,2.070000,270800
2022-11-01,2.110000,2.192000,2.090000,2.100000,2.100000,265100
2022-11-02,2.090000,2.190000,2.030000,2.090000,2.090000,368700
2022-11-03,2.030000,2.137000,2.010000,2.030000,2.030000,287700
2022-11-04,2.040000,2.060000,1.960000,2.030000,2.030000,307300
2022-11-07,2.050000,2.050000,1.960000,1.980000,1.980000,363200
2022-11-08,2.010000,2.150000,1.940000,2.020000,2.020000,490100
2022-11-09,2.000000,2.007000,1.770000,1.800000,1.800000,603200
2022-11-10,1.950000,2.040000,1.911000,1.970000,1.970000,494700
2022-11-11,2.050000,2.220000,2.022000,2.200000,2.200000,360200
2022-11-14,2.650000,4.000000,2.560000,3.790000,3.790000,76905700
2022-11-15,3.090000,3.350000,2.930000,3.220000,3.220000,13606700
2022-11-16,2.500000,2.630000,2.320000,2.430000,2.430000,5850100
2022-11-17,2.400000,2.690000,2.370000,2.590000,2.590000,2824200
2022-11-18,2.550000,2.730000,2.480000,2.650000,2.650000,1502000
2022-11-21,2.530000,2.680000,2.490000,2.540000,2.540000,786400
2022-11-22,2.600000,2.900000,2.550000,2.670000,2.670000,5084800
2022-11-23,2.670000,2.670000,2.430000,2.510000,2.510000,1608300
2022-11-25,2.500000,2.520000,2.449000,2.510000,2.510000,324600
2022-11-28,2.530000,2.530000,2.381000,2.430000,2.430000,563200
2022-11-29,2.370000,2.380000,2.250000,2.260000,2.260000,741500
2022-11-30,2.260000,2.460000,2.260000,2.310000,2.310000,1171500
2022-12-01,2.340000,2.470000,2.270000,2.290000,2.290000,1012200
2022-12-02,2.301000,2.430000,2.280000,2.360000,2.360000,445200
2022-12-05,2.350000,2.360000,2.250000,2.330000,2.330000,980500
2022-12-06,2.340000,2.340000,2.140000,2.172700,2.172700,941172
